"1","15","Brooke"
"1","2","Joshua"
"2","19","Joseph"
"2","15","Zoe"
"3","1","Sarah"
"3","17","Alexander"
"3","4","Caleb"
"4","14","Patrick"
"4","13","Erin"
"4","16","Breanna"
"5","12","Alexander"
"5","16","Abigail"
"6","6","Isabella"
"6","4","Jose"
"6","15","Alexis"
"7","3","Emma"
"7","18","Caitlin"
"7","16","Nicole"
"7","13","Madeline"
"8","5","Jack"
"8","20","Destiny"
"9","7","Robert"
"9","1","Kimberly"
"9","6","Brooke"
"9","5","Jared"
"9","15","Abigail"
"9","17","Sean"
"10","2","Christopher"
"10","13","Sydney"
"11","17","Adam"
"11","10","Natalie"
"12","16","Brittany"
"12","10","Jessica"
"12","1","Savannah"
"12","17","Elijah"
"12","2","John"
"13","3","Gabrielle"
"13","7","Cameron"
"13","13","Danielle"
"14","6","Chloe"
"14","2","Isaiah"
"14","15","Jasmine"
"15","7","Richard"
"15","6","Mariah"
"15","12","Jack"
"16","8","Angel"
"17","2","Ryan"
"17","15","Shelby"
"17","5","Daniel"
"18","7","Christian"
"18","15","Mackenzie"
"19","14","Adam"
"19","9","Nicole"
"19","12","Seth"
"20","14","Samuel"
"20","9","Jada"
"20","1","Samantha"
"20","7","Daniel"
"20","16","Amber"
"20","2","Juan"
"17","1"
"13","1"
"15","1"
"9","1"
"2","1"
"16","1"
"19","1"
"12","1"
"9","2"
"10","2"
"1","2"
"4","2"
"19","2"
"15","2"
"3","3"
"1","3"
"10","3"
"17","3"
"4","3"
"6","4"
"14","4"
"20","4"
"13","4"
"17","4"
"16","4"
"5","4"
"4","4"
"3","5"
"12","5"
"14","5"
"17","5"
"9","5"
"4","5"
"16","5"
"6","6"
"2","6"
"4","6"
"11","6"
"15","6"
"3","7"
"7","7"
"18","7"
"16","7"
"15","7"
"13","7"
"5","8"
"3","8"
"19","8"
"20","8"
"7","9"
"1","9"
"4","9"
"6","9"
"5","9"
"15","9"
"10","9"
"17","9"
"17","10"
"8","10"
"2","10"
"19","10"
"16","10"
"13","10"
"4","10"
"18","11"
"17","11"
"9","11"
"10","11"
"13","11"
"6","11"
"2","11"
"15","12"
"16","12"
"10","12"
"1","12"
"17","12"
"12","12"
"3","12"
"8","12"
"2","12"
"4","12"
"3","13"
"19","13"
"11","13"
"7","13"
"18","13"
"9","13"
"13","13"
"7","14"
"6","14"
"10","14"
"19","14"
"2","14"
"15","14"
"4","14"
"7","15"
"9","15"
"6","15"
"12","15"
"20","15"
"13","16"
"4","16"
"14","16"
"7","16"
"8","16"
"18","16"
"2","17"
"15","17"
"14","17"
"5","17"
"20","17"
"18","17"
"1","18"
"7","18"
"6","18"
"20","18"
"5","18"
"11","18"
"15","18"
"14","18"
"14","19"
"3","19"
"9","19"
"8","19"
"10","19"
"12","19"
"16","19"
"14","20"
"9","20"
"3","20"
"1","20"
"7","20"
